,file_scraped,Corresponding_URL
80,thehindu_jan_1_file_81.json,https://www.thehindu.com/news/national/andhra-pradesh/state-makes-a-mark-at-national-level-in-housing-technology/article33475371.ece
81,thehindu_jan_1_file_82.json,https://www.thehindu.com/news/national/andhra-pradesh/naidu-lokesh-behind-desecration-of-idol-at-ramatheertham-vijaya-sai/article33475339.ece
82,thehindu_jan_1_file_83.json,https://www.thehindu.com/news/national/andhra-pradesh/waltair-division-handles-first-fly-ash-rake/article33475261.ece
83,thehindu_jan_1_file_84.json,https://www.thehindu.com/news/national/andhra-pradesh/looking-back-at-2020s-impact-on-tirupati/article33475232.ece
84,thehindu_jan_1_file_85.json,https://www.thehindu.com/news/national/andhra-pradesh/companions-of-the-sacred-sabari-on-tri-state-border/article33475225.ece
85,thehindu_jan_1_file_86.json,https://www.thehindu.com/news/national/andhra-pradesh/ak-goswami-likely-to-take-over-as-high-court-cj-soon/article33475209.ece
86,thehindu_jan_1_file_87.json,https://www.thehindu.com/news/national/andhra-pradesh/rinl-eyes-170-crore-profit/article33475208.ece
87,thehindu_jan_1_file_88.json,https://www.thehindu.com/news/national/andhra-pradesh/protect-temples-deodhar-urges-govt/article33475206.ece
88,thehindu_jan_1_file_89.json,https://www.thehindu.com/news/national/andhra-pradesh/cpi-condemns-attacks-on-temples/article33475202.ece
89,thehindu_jan_1_file_90.json,https://www.thehindu.com/news/national/andhra-pradesh/counselling-for-rgukt-admissions-from-jan-4/article33475201.ece
90,thehindu_jan_1_file_91.json,https://www.thehindu.com/news/national/andhra-pradesh/tribal-place-of-worship-vandalised-at-paderu/article33475200.ece
91,thehindu_jan_1_file_92.json,https://www.thehindu.com/news/national/andhra-pradesh/gis-enabled-database-of-industrial-areas-to-be-prepared-in-state/article33475193.ece
92,thehindu_jan_1_file_93.json,https://www.thehindu.com/news/national/andhra-pradesh/naidu-urges-governor-to-restore-rule-of-law-in-state/article33475180.ece
93,thehindu_jan_1_file_94.json,https://www.thehindu.com/news/national/andhra-pradesh/green-vending-zones-for-street-vendors-identified-in-kakinada/article33474816.ece
94,thehindu_jan_1_file_95.json,https://www.thehindu.com/news/national/andhra-pradesh/rowdy-sheeter-killed-near-rajamahendravaram/article33474787.ece
95,thehindu_jan_1_file_96.json,https://www.thehindu.com/news/national/andhra-pradesh/smuggling-of-red-sanders-sandkept-kadapa-police-busy-in-2020/article33474766.ece
